label1,node1,label2,node2,link_num
101,刘备,246,赵云,66
69,司马徽,99,刘表,7
69,司马徽,101,刘备,47
69,司马徽,118,关羽,2
69,司马徽,137,孙乾,8
69,司马徽,181,张飞,2
69,司马徽,192,张津,2
69,司马徽,234,庞统,6
69,司马徽,235,庞德,4
69,司马徽,236,庞德公,5
69,司马徽,246,赵云,5
69,司马徽,308,徐庶,2
69,司马徽,383,简雍,2
99,刘表,101,刘备,52
99,刘表,118,关羽,7
99,刘表,137,孙乾,13
99,刘表,181,张飞,7
99,刘表,192,张津,7
99,刘表,234,庞统,11
99,刘表,235,庞德,9
99,刘表,236,庞德公,10
99,刘表,246,赵云,10
99,刘表,308,徐庶,7
99,刘表,383,简雍,7
101,刘备,118,关羽,53
101,刘备,137,孙乾,53
101,刘备,181,张飞,58
101,刘备,192,张津,47
101,刘备,234,庞统,51
101,刘备,235,庞德,49
101,刘备,236,庞德公,50
101,刘备,308,徐庶,47
101,刘备,383,简雍,47
118,关羽,137,孙乾,8
118,关羽,181,张飞,5
118,关羽,192,张津,2
118,关羽,234,庞统,6
118,关羽,235,庞德,4
118,关羽,236,庞德公,5
118,关羽,246,赵云,8
118,关羽,308,徐庶,2
118,关羽,383,简雍,2
137,孙乾,181,张飞,8
137,孙乾,192,张津,8
137,孙乾,234,庞统,12
137,孙乾,235,庞德,10
137,孙乾,236,庞德公,11
137,孙乾,246,赵云,11
137,孙乾,308,徐庶,8
137,孙乾,383,简雍,8
181,张飞,192,张津,2
181,张飞,234,庞统,6
181,张飞,235,庞德,4
181,张飞,236,庞德公,5
181,张飞,246,赵云,12
181,张飞,308,徐庶,2
181,张飞,383,简雍,2
192,张津,234,庞统,6
192,张津,235,庞德,4
192,张津,236,庞德公,5
192,张津,246,赵云,5
192,张津,308,徐庶,2
192,张津,383,简雍,2
234,庞统,235,庞德,8
234,庞统,236,庞德公,9
234,庞统,246,赵云,9
234,庞统,308,徐庶,6
234,庞统,383,简雍,6
235,庞德,236,庞德公,7
235,庞德,246,赵云,7
235,庞德,308,徐庶,4
235,庞德,383,简雍,4
236,庞德公,246,赵云,8
236,庞德公,308,徐庶,5
236,庞德公,383,简雍,5
246,赵云,308,徐庶,5
246,赵云,383,简雍,5
308,徐庶,383,简雍,2
101,刘备,160,李典,6
101,刘备,332,曹仁,10
101,刘备,348,曹操,3
160,李典,332,曹仁,8
160,李典,348,曹操,2
332,曹仁,348,曹操,4
101,刘备,202,张翼,6
118,关羽,202,张翼,2
181,张飞,202,张翼,3
202,张翼,246,赵云,3
